areacd,areanm,period,value
E12000006,East of England,2007-01-01/P1Y,27.08
E12000006,East of England,2008-01-01/P1Y,27.75
E12000006,East of England,2009-01-01/P1Y,28.14
E12000006,East of England,2010-01-01/P1Y,28.36
E12000006,East of England,2011-01-01/P1Y,28.51
E12000006,East of England,2012-01-01/P1Y,28.81
E12000006,East of England,2013-01-01/P1Y,29.33
E12000006,East of England,2014-01-01/P1Y,29.98
E12000006,East of England,2015-01-01/P1Y,30.71
E12000006,East of England,2016-01-01/P1Y,31.42
E12000006,East of England,2017-01-01/P1Y,32.23
E12000006,East of England,2018-01-01/P1Y,33.2
E12000006,East of England,2019-01-01/P1Y,34.36
E12000006,East of England,2020-01-01/P1Y,35.75
E12000006,East of England,2021-01-01/P1Y,37.35
E12000006,East of England,2022-01-01/P1Y,38.79
E12000006,East of England,2023-01-01/P1Y,39.69
E12000007,London,2004-01-01/P1Y,34.14
E12000007,London,2005-01-01/P1Y,33.91
E12000007,London,2006-01-01/P1Y,36.41
E12000007,London,2007-01-01/P1Y,37.9
E12000007,London,2008-01-01/P1Y,39
E12000007,London,2009-01-01/P1Y,39.77
E12000007,London,2010-01-01/P1Y,40.45
E12000007,London,2011-01-01/P1Y,40.99
E12000007,London,2012-01-01/P1Y,41.51
E12000007,London,2013-01-01/P1Y,42.17
E12000007,London,2014-01-01/P1Y,43.1
E12000007,London,2015-01-01/P1Y,44.14
E12000007,London,2016-01-01/P1Y,45.12
E12000007,London,2017-01-01/P1Y,46.05
E12000007,London,2018-01-01/P1Y,47.11
E12000007,London,2019-01-01/P1Y,48.18
E12000007,London,2020-01-01/P1Y,49.47
E12000007,London,2021-01-01/P1Y,51.08
E12000007,London,2022-01-01/P1Y,52.79
E12000007,London,2023-01-01/P1Y,53.96
E12000008,South East,2004-01-01/P1Y,27.81
E12000008,South East,2005-01-01/P1Y,27.68
E12000008,South East,2006-01-01/P1Y,29.13
E12000008,South East,2007-01-01/P1Y,30.15
E12000008,South East,2008-01-01/P1Y,31.16
E12000008,South East,2009-01-01/P1Y,31.91
E12000008,South East,2010-01-01/P1Y,32.48
E12000008,South East,2011-01-01/P1Y,32.86
E12000008,South East,2012-01-01/P1Y,33.25
E12000008,South East,2013-01-01/P1Y,33.83
E12000008,South East,2014-01-01/P1Y,34.39
E12000008,South East,2015-01-01/P1Y,35.09
E12000008,South East,2016-01-01/P1Y,35.83
E12000008,South East,2017-01-01/P1Y,36.94
E12000008,South East,2018-01-01/P1Y,38.58
E12000008,South East,2019-01-01/P1Y,40.3
E12000008,South East,2020-01-01/P1Y,42.08
E12000008,South East,2021-01-01/P1Y,43.43
E12000008,South East,2022-01-01/P1Y,44.59
E12000008,South East,2023-01-01/P1Y,45.22
E12000009,South West,2004-01-01/P1Y,23.68
E12000009,South West,2005-01-01/P1Y,23.59
E12000009,South West,2006-01-01/P1Y,24.67
E12000009,South West,2007-01-01/P1Y,25.49
E12000009,South West,2008-01-01/P1Y,26.27
E12000009,South West,2009-01-01/P1Y,26.77
E12000009,South West,2010-01-01/P1Y,27.22
E12000009,South West,2011-01-01/P1Y,27.53
E12000009,South West,2012-01-01/P1Y,27.97
E12000009,South West,2013-01-01/P1Y,28.41
E12000009,South West,2014-01-01/P1Y,29
E12000009,South West,2015-01-01/P1Y,29.69
E12000009,South West,2016-01-01/P1Y,30.47
E12000009,South West,2017-01-01/P1Y,31.29
E12000009,South West,2018-01-01/P1Y,32.23
E12000009,South West,2019-01-01/P1Y,33.39
E12000009,South West,2020-01-01/P1Y,34.8
E12000009,South West,2021-01-01/P1Y,36.46
E12000009,South West,2022-01-01/P1Y,37.87
E12000009,South West,2023-01-01/P1Y,38.75
N92000002,Northern Ireland,2004-01-01/P1Y,20.67
N92000002,Northern Ireland,2005-01-01/P1Y,20.57
N92000002,Northern Ireland,2006-01-01/P1Y,21.7
N92000002,Northern Ireland,2007-01-01/P1Y,22.43
N92000002,Northern Ireland,2008-01-01/P1Y,22.98
N92000002,Northern Ireland,2009-01-01/P1Y,23.4
N92000002,Northern Ireland,2010-01-01/P1Y,23.89
N92000002,Northern Ireland,2011-01-01/P1Y,24.48
N92000002,Northern Ireland,2012-01-01/P1Y,25.07
N92000002,Northern Ireland,2013-01-01/P1Y,25.59
N92000002,Northern Ireland,2014-01-01/P1Y,26.23
N92000002,Northern Ireland,2015-01-01/P1Y,27.02
N92000002,Northern Ireland,2016-01-01/P1Y,27.85
N92000002,Northern Ireland,2017-01-01/P1Y,28.52
N92000002,Northern Ireland,2018-01-01/P1Y,29.31
N92000002,Northern Ireland,2019-01-01/P1Y,30.52
N92000002,Northern Ireland,2020-01-01/P1Y,32.26
N92000002,Northern Ireland,2021-01-01/P1Y,34.33
N92000002,Northern Ireland,2022-01-01/P1Y,35.95
N92000002,Northern Ireland,2023-01-01/P1Y,36.88
